from.x,from.y,to.x,to.y
-79.86663496917309,40.452687386298706,-79.8664394520467,40.452785266999705
-79.86766568367591,40.4521430103091,-79.86663496917309,40.452687386298706
-79.86763750239841,40.4510036209569,-79.866897247775,40.4505472630247
-79.8673283857495,40.4501731937568,-79.86697110165359,40.450184114787795
-79.86762437493292,40.4496839126598,-79.8670655949572,40.4498594968049
-79.86760173489358,40.449463635719,-79.8671214609016,40.4494511149475
-79.86663496917309,40.452687386298706,-79.8671921199804,40.454047925826394
-79.8670655949572,40.4498594968049,-79.8673283857495,40.4501731937568
-79.86763750239841,40.4510036209569,-79.8676032551455,40.4520450701844
-79.8673283857495,40.4501731937568,-79.86763750239841,40.4510036209569
-79.8682998884663,40.4511368368922,-79.86766568367591,40.4521430103091
-79.8671921199804,40.454047925826394,-79.8679395918417,40.4554835598428
-79.8679395918417,40.4554835598428,-79.8679395918417,40.4554835598428
-79.86760173489358,40.449463635719,-79.8682998884663,40.4511368368922
-79.8688002606045,40.4511183125721,-79.8683043632203,40.4494767583537
-79.86760173489358,40.449463635719,-79.8683043632203,40.4494767583537
-79.8679395918417,40.4554835598428,-79.8685681418969,40.4555257556326
-79.8682998884663,40.4511368368922,-79.8688002606045,40.4511183125721
-79.8685409632123,40.451888881357604,-79.8688002606045,40.4511183125721
-79.8685681418969,40.4555257556326,-79.8688885137881,40.4555332309709
-79.8685681418969,40.4555257556326,-79.8688885137881,40.4555332309709
-79.8683043632203,40.4494767583537,-79.8690509666403,40.4494595542594
-79.8702556169569,40.461170011447,-79.8690619478535,40.4609663010815
-79.86927042834371,40.4508391470073,-79.8691546404507,40.4516583124171
-79.8700346500323,40.4521824922129,-79.8691546404507,40.4516583124171
-79.8688002606045,40.4511183125721,-79.86927042834371,40.4508391470073
-79.8690509666403,40.4494595542594,-79.86927042834371,40.4508391470073
-79.86927042834371,40.4508391470073,-79.8694156700555,40.4507143822491
-79.8671921199804,40.454047925826394,-79.8697278569012,40.45432287884471
-79.8694156700555,40.4507143822491,-79.8697824060545,40.4503894032397
-79.8695687679698,40.449430117375,-79.8697824060545,40.4503894032397
-79.8697278569012,40.45432287884471,-79.86988057678579,40.4543993622569
-79.8697824060545,40.4503894032397,-79.87015846856991,40.450046833144796
-79.8700938173462,40.4494270895301,-79.87015846856991,40.450046833144796
-79.86988057678579,40.4543993622569,-79.8702311527514,40.4545910917856
-79.8731404319038,40.4604267560402,-79.8702556169569,40.461170011447
