"from.x","from.y","to.x","to.y","class"
-80.0101932577667,40.4394384197127,-80.0096082484446,40.4397568003251,3
-80.0083407450601,40.4392119873579,-80.0008965479285,40.4364275526204,4
-80.0009760641647,40.4363019000935,-79.9950846969213,40.4340592584893,4
-79.9886983152917,40.4307478126265,-79.9898189304022,40.4344805751812,2
-79.9950846969213,40.4340592584893,-79.975451887022,40.4358814204196,2
-79.975451887022,40.4358814204196,-79.9669779554227,40.435816601867,2
-79.9585031032464,40.4315923489134,-79.9561660988133,40.4288591298682,2
-79.9313115194314,40.4289075869972,-79.9265064045837,40.4279535385354,2
-79.9265064045837,40.4279535385354,-79.9115530718894,40.4257660639259,4
-79.897445970603,40.4259951014493,-79.8965606534151,40.4260391502265,4
-80.0305372118504,40.4227552574639,-80.0350106772891,40.4200229177011,4
-80.0308857670384,40.4248955995166,-80.0296597864083,40.422525108331,4
-80.0273293518876,40.4301995589353,-80.0242829714115,40.4291029347163,4
-80.0244036478342,40.4318052129682,-80.0137496315058,40.437476134165,3
-80.0137496315058,40.437476134165,-80.0122166400866,40.4383687712438,3
-80.0122166400866,40.4383687712438,-80.0101932577667,40.4394384197127,3
-80.0101932577667,40.4394384197127,-80.0009760641647,40.4363019000935,3
-80.0089667632282,40.4420244081969,-80.0083407450601,40.4392119873579,3
-80.0088605316052,40.443386560661,-80.0062755351174,40.4434133763627,3
-80.009642218588,40.4458002787287,-80.0068155470256,40.4486238853136,4
-80.0068155470256,40.4486238853136,-80.0040286394832,40.4491018032409,4
-80.0040286394832,40.4491018032409,-79.99774393878,40.4500642937025,4
-79.9986763560681,40.4585825305189,-79.9984155976068,40.4588420025036,2
-80.0033718183344,40.4705065062809,-80.0054039972957,40.4741087238741,2
-80.0059759658937,40.4823586583765,-80.0079411571393,40.4831475146918,2
-80.0094893220899,40.4915855241028,-80.008887253372,40.4869745617861,2
-80.0078912959664,40.4484326874606,-80.0045265038133,40.4491368209507,4
-80.015877744718,40.4488935489873,-80.0134910270279,40.448395428959,4
-80.0248714366943,40.4489409190514,-80.0188427507767,40.4487508570802,2
-80.0313990066487,40.4621392443405,-80.0295331809106,40.4566353374556,2
-79.9935120093967,40.4393249196003,-79.9915320209725,40.4404391281538,4
-79.9925236069677,40.441227007875,-79.9896241758045,40.4449731821684,2
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,4
-79.9967945383682,40.4540789407027,-79.994451373618,40.45483488248,4
-79.9907961306246,40.4428090280145,-79.989200325114,40.4435179232021,5
-79.9910359219339,40.4441669287632,-79.9927098301159,40.4414098558353,5
-79.9946287411732,40.4507727787591,-79.9913252132101,40.4477761815735,1
-79.9978397129922,40.4539265375579,-79.9967945383682,40.4540789407027,1
-80.009642218588,40.4458002787287,-80.0068155470256,40.4486238853136,5
-80.0068155470256,40.4486238853136,-80.0040286394832,40.4491018032409,1
-80.002910222571,40.4493018151819,-79.9971486809939,40.4541025848934,5
-80.0009806667301,40.4496740242238,-79.9977090760507,40.4507438912946,5
-79.9991860138232,40.4592068976146,-79.9969617486047,40.4524120429157,4
-80.0072608299231,40.4712739676124,-80.0028681272323,40.4732005010262,4
-80.0101871745366,40.4919643749712,-79.9991860138232,40.4592068976146,4
-80.0117499035409,40.4941427185599,-80.0101871745366,40.4919643749712,4
-79.9944787458684,40.4361386820739,-79.9937329087073,40.4388939853645,3
-80.0297918986936,40.4451540593758,-80.0246823277918,40.4427737351423,3
-80.0259997145711,40.4481585188543,-80.0248714366943,40.4489409190514,1
-80.0265358940255,40.4306586606179,-80.0255747887141,40.4304749793851,4
