from.x,from.y,to.x,to.y,speed,time,is.weekday
-80.0101932577667,40.4394384197127,-80.0096082484446,40.4397568003251,27.6034375,8,1
-79.975451887022,40.435881420419605,-79.9669779554227,40.435816601866996,53.779672727272704,8,1
-79.9265064045837,40.4279535385354,-79.91155307188941,40.4257660639259,39.5202807017544,8,1
-80.0101932577667,40.4394384197127,-80.0009760641647,40.4363019000935,24.8787916666667,8,1
-80.0078912959664,40.4484326874606,-80.0045265038133,40.449136820950706,41.9730188679245,8,1
-80.015877744718,40.4488935489873,-80.0134910270279,40.448395428958996,46.7826923076923,8,1
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,50.6930303030303,8,1
-79.9978397129922,40.4539265375579,-79.9967945383682,40.45407894070271,49.6538888888889,8,1
-80.0101871745366,40.491964374971204,-79.9991860138232,40.4592068976146,61.4619811320755,8,1
-79.994033231545,40.3797725121875,-79.9928810581136,40.3786370809244,27.273894736842102,8,1
-79.99367069207041,40.3839552184347,-79.9950761982209,40.3846962459415,27.828838174273898,8,1
-79.9974483108745,40.3953454957625,-79.9972991530441,40.3944819507148,28.033636363636397,8,1
-79.97983393989199,40.4647756106821,-79.97942123021,40.4645937635711,40.918065693430705,8,1
-80.00959695222309,40.4141981108114,-79.9992681610306,40.4291466738305,28.2999061032864,8,1
-79.97252842185371,40.4370888827526,-79.9669779554227,40.435816601866996,43.7122900763359,8,1
-79.9592027818445,40.431135859948,-79.9578169472402,40.4300216919363,14.4926775956284,8,1
-79.9359242542782,40.399866277981,-79.9348708627099,40.3931345795683,23.805376344086,8,1
-79.9447232745249,40.41131250145379,-79.9440772046756,40.4099891732268,31.9294666666667,8,1
-79.97316485888929,40.435818517497395,-79.9652637939903,40.4340356295261,32.1318137254902,8,1
-80.0390568549862,40.4045897794299,-80.04081546722071,40.4033271978306,32.6774431818182,8,1
-79.9082751832002,40.4742161006875,-79.9078463338854,40.484269090485,26.8091358024691,8,1
