"from.x","from.y","to.x","to.y","speed"
-79.9265064045837,40.4279535385354,-79.9115530718894,40.4257660639259,44.9854545454545
-80.0244036478342,40.4318052129682,-80.0137496315058,40.437476134165,38.9750187265918
-80.0122166400866,40.4383687712438,-80.0101932577667,40.4394384197127,25.3394525547445
-79.9907961306246,40.4428090280145,-79.989200325114,40.4435179232021,55.4980952380952
-79.9978397129922,40.4539265375579,-79.9967945383682,40.4540789407027,60.61125
-80.0068155470256,40.4486238853136,-80.0040286394832,40.4491018032409,27.8891666666667
-80.002910222571,40.4493018151819,-79.9971486809939,40.4541025848934,42.9003225806452
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,35.8159160305344
-79.9078463338854,40.484269090485,-79.9107570017796,40.4855758818875,33.0484574468085
-79.9371556186231,40.48842923155,-79.9364899634275,40.4886546203303,31.1385185185185
-79.9078463338854,40.484269090485,-79.9107570017796,40.4855758818875,31.9310144927536
-80.0096847882152,40.4139636773791,-80.0069334685479,40.411972855867,29.0818518518519
-80.0095969522231,40.4141981108114,-79.9992681610306,40.4291466738305,26.0450857142857
-79.9940991622838,40.4358731539459,-79.9934234338469,40.4356650788675,32.0455140186916
-80.0538479907543,40.4379395958248,-80.0525150498272,40.4364757234696,25.7826785714286
-80.0296597864083,40.422525108331,-80.029637549836,40.4223812812222,39.3401408450704
-79.9064454750625,40.4621579880553,-79.9045066779035,40.4631772233954,37.2697744360902
-79.908622020827,40.4702810699454,-79.9083629382984,40.4732893989324,37.0778571428571
-79.9564082166558,40.4174687290481,-79.9555233801388,40.4110243253521,31.1660893854749
-79.9040674261812,40.458007251718,-79.9014791839787,40.457554433013,37.4242857142857
-80.0286385077037,40.4299818770868,-80.0313992431517,40.4254968575055,41.337695473251
-80.0273293518876,40.4301995589353,-80.0242829714115,40.4291029347163,31.2284259259259
-80.0269655597472,40.4442952243475,-80.0273099026248,40.4438756088457,38.3326315789474
-79.9938644319296,40.4438255489674,-79.9793887794441,40.4516364037542,22.447696969697
-79.987504012933,40.4488165147956,-79.9860729946509,40.4497096758782,21.6512941176471
-79.9227225155921,40.4606559341915,-79.9208303232947,40.4598057873675,20.4187647058824
-79.9949588752294,40.4421572580961,-79.9938644319296,40.4438255489674,18.030612244898
-79.9972665783316,40.4386899150787,-79.9960558139842,40.4382276046981,12.5330612244898
-79.950739870938,40.4439080229979,-79.9502222634686,40.4440435019501,18.7368674698795
-79.9885734086844,40.4287024904679,-79.9875177884176,40.4287261132372,11.229203539823
-79.9561527456392,40.4108678910846,-79.9555233801388,40.4110243253521,12.9724
-80.0178138243588,40.4889587560272,-80.0183475206854,40.4895086196958,24.4466363636364
-80.0038716728955,40.4470597159217,-80.002760387476,40.4441122731106,11.4857608695652
-80.0045265038133,40.4491368209507,-80.0025581772866,40.4494869449858,12.5669642857143
-80.0036758059675,40.4529634141981,-80.0026157622243,40.453148489408,13.4671111111111
-79.9726059506553,40.4376832445192,-79.9710423713806,40.4371794628171,23.4570322580645
-79.9519108858938,40.4464763390984,-79.9505884684963,40.4467997950008,20.9523267326733
-79.9926875889815,40.4531861602506,-79.9913944813615,40.4541873168418,14.6556
-79.9944194541772,40.4463348640889,-79.9923098235013,40.4476347189048,25.9
-80.0073741412109,40.439176632758,-80.0057457110848,40.4385485295316,11.2341843971631
-79.9387957756585,40.4438816427602,-79.9382423129348,40.4433556560532,22.59
-79.9205127602105,40.4438511543988,-79.9198112496364,40.4439693553477,24.0670967741935
-79.9078463338854,40.484269090485,-79.884275265365,40.4814453500513,24.3443564356436
-79.9672138150534,40.4626735671717,-79.9650672892723,40.4639911955612,16.4454945054945
-80.0050212863367,40.4395985870424,-80.0036346644576,40.4390783472366,10.8364539007092
-79.9585031032464,40.4315923489134,-79.9561660988133,40.4288591298682,54.0720146520147
-79.9265064045837,40.4279535385354,-79.9115530718894,40.4257660639259,39.9278909090909
-79.897445970603,40.4259951014493,-79.8965606534151,40.4260391502265,53.9811827956989
-80.0122166400866,40.4383687712438,-80.0101932577667,40.4394384197127,38.6088518518519
-80.009642218588,40.4458002787287,-80.0068155470256,40.4486238853136,41.5817786561265
-80.0068155470256,40.4486238853136,-80.0040286394832,40.4491018032409,47.2259663865546
-80.0040286394832,40.4491018032409,-79.99774393878,40.4500642937025,49.5257894736842
-79.9986763560681,40.4585825305189,-79.9984155976068,40.4588420025036,56.4377586206897
-79.9925236069677,40.441227007875,-79.9896241758045,40.4449731821684,49.0476279069767
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,53.4086160714286
-79.9967945383682,40.4540789407027,-79.994451373618,40.45483488248,53.7045893719807
-80.0297918986936,40.4451540593758,-80.0246823277918,40.4427737351423,21.4372448979592
-79.994033231545,40.3797725121875,-79.9928810581136,40.3786370809244,32.59588
-80.0096847882152,40.4139636773791,-80.0069334685479,40.411972855867,36.8461278195489
-80.0113863018024,40.4150351259468,-80.0099750997733,40.4141620792672,23.6579802955665
-80.0241686810616,40.4288845379861,-80.0241010031242,40.4300070431932,40.1358744394619
-79.9447232745249,40.4113125014538,-79.9440772046756,40.4099891732268,25.5117910447761
